"PTEN_type","OUT_type","both","PTEN_only","OUT_only","neither","p_val","log2_lower","log2_upper","log2_odds_ratio","combination"
"PTEN_lof","PIK3CA_OUT_ANY",410,1759,5321,24657,"0.1814",-0.0533439897930849,0.273098089178491,0.11116488907889,"PTEN_lof PIK3CA_OUT_ANY"
"PTEN_lof","SMAD4_OUT_ANY",455,1714,4988,24990,"0",0.252657864194117,0.567934786477816,0.411426245726465,"PTEN_lof SMAD4_OUT_ANY"
"PTEN_lof","TP53_OUT_DEL",0,2169,0,29978,"1",-Inf,Inf,-Inf,"PTEN_lof TP53_OUT_DEL"
"PTEN_lof","TP53_OUT_MUT",1432,737,23622,6356,"0",-1.07096652135414,-0.799370102016926,-0.935668953754016,"PTEN_lof TP53_OUT_MUT"
"PTEN_LOF","APC_OUT_ANY",292,827,5475,25639,"0",0.523361219304096,0.924403979026678,0.725435791905312,"PTEN_LOF APC_OUT_ANY"
"PTEN_LOF","KRAS_OUT_ANY",721,398,15658,15456,"0",0.656908183473337,1.02162185785152,0.838427421907057,"PTEN_LOF KRAS_OUT_ANY"
"PTEN_LOF","PIK3CA_OUT_ANY",292,827,5475,25639,"0",0.523361219304096,0.924403979026678,0.725435791905312,"PTEN_LOF PIK3CA_OUT_ANY"
"PTEN_LOF","SMAD4_OUT_ANY",254,865,5209,25905,"0",0.334110567844753,0.754459973625479,0.546264782839354,"PTEN_LOF SMAD4_OUT_ANY"
"PTEN_LOF","TP53_OUT_DEL",0,1119,0,31114,"1",-Inf,Inf,-Inf,"PTEN_LOF TP53_OUT_DEL"
"PTEN_LOF","TP53_OUT_MUT",655,464,24438,6676,"0",-1.55300275932361,-1.19561596455866,-1.37482304331949,"PTEN_LOF TP53_OUT_MUT"
"PTEN_lof_nodel","APC_OUT_ANY",265,842,5459,25574,"0",0.351062898940385,0.765619608281233,0.560127976081264,"PTEN_lof_nodel APC_OUT_ANY"
"PTEN_lof_nodel","KRAS_OUT_ANY",708,399,15612,15421,"0",0.627513456787769,0.993203348636124,0.809579079068998,"PTEN_lof_nodel KRAS_OUT_ANY"
"PTEN_lof_nodel","PIK3CA_OUT_ANY",265,842,5459,25574,"0",0.351062898940385,0.765619608281233,0.560127976081264,"PTEN_lof_nodel PIK3CA_OUT_ANY"
"PTEN_lof_nodel","SMAD4_OUT_ANY",252,855,5188,25845,"0",0.341074882994498,0.763241585658583,0.554146766746513,"PTEN_lof_nodel SMAD4_OUT_ANY"
"PTEN_lof_nodel","TP53_OUT_DEL",0,1107,0,31033,"1",-Inf,Inf,-Inf,"PTEN_lof_nodel TP53_OUT_DEL"
"PTEN_lof_nodel","TP53_OUT_MUT",674,433,24377,6656,"0",-1.41503749927884,-1.05229644394692,-1.23446525363702,"PTEN_lof_nodel TP53_OUT_MUT"
"PTEN_lof_pres","APC_OUT_ANY",446,1809,5321,24657,"0.0167",0.0333701384605922,0.348685669334387,0.192194165283345,"PTEN_lof_pres APC_OUT_ANY"
"PTEN_lof_pres","KRAS_OUT_ANY",1354,901,15025,14953,"0",0.453649266043291,0.708319688551601,0.580627910457265,"PTEN_lof_pres KRAS_OUT_ANY"
"PTEN_lof_pres","PIK3CA_OUT_ANY",446,1809,5321,24657,"0.0167",0.0333701384605922,0.348685669334387,0.192194165283345,"PTEN_lof_pres PIK3CA_OUT_ANY"
"PTEN_lof_pres","SMAD4_OUT_ANY",475,1780,4988,24990,"0",0.263395034517309,0.572501664642034,0.418891556007461,"PTEN_lof_pres SMAD4_OUT_ANY"
"PTEN_lof_pres","TP53_OUT_DEL",0,2255,0,29978,"1",-Inf,Inf,-Inf,"PTEN_lof_pres TP53_OUT_DEL"
"PTEN_lof_pres","TP53_OUT_MUT",1471,784,23622,6356,"0",-1.1184136837566,-0.852823573019054,-0.9862161845669,"PTEN_lof_pres TP53_OUT_MUT"
"PTEN_nodel","APC_OUT_ANY",311,979,5413,25433,"0",0.384160353903822,0.768332557385821,0.577827591236248,"PTEN_nodel APC_OUT_ANY"
"PTEN_nodel","KRAS_OUT_ANY",817,473,15501,15345,"0",0.605494333852509,0.943508801161736,0.773827578980694,"PTEN_nodel KRAS_OUT_ANY"
"PTEN_nodel","PIK3CA_OUT_ANY",311,979,5413,25433,"0",0.384160353903822,0.768332557385821,0.577827591236248,"PTEN_nodel PIK3CA_OUT_ANY"
"PTEN_nodel","SMAD4_OUT_ANY",287,1003,5153,25693,"0",0.313361959392219,0.708496273012151,0.512682003339547,"PTEN_nodel SMAD4_OUT_ANY"
"PTEN_nodel","TP53_OUT_DEL",0,1290,0,30846,"1",-Inf,Inf,-Inf,"PTEN_nodel TP53_OUT_DEL"
"PTEN_nodel","TP53_OUT_MUT",793,497,24254,6592,"0",-1.37370105100819,-1.03593412251358,-1.20523065168635,"PTEN_nodel TP53_OUT_MUT"
"PTEN_pred","APC_OUT_ANY",271,951,5496,25515,"1e-04",0.199122642013601,0.604735569761183,0.403704010250962,"PTEN_pred APC_OUT_ANY"
"PTEN_pred","KRAS_OUT_ANY",716,506,15663,15348,"0",0.302055788098619,0.641730978134747,0.471447616377392,"PTEN_pred KRAS_OUT_ANY"
"PTEN_pred","PIK3CA_OUT_ANY",271,951,5496,25515,"1e-04",0.199122642013601,0.604735569761183,0.403704010250962,"PTEN_pred PIK3CA_OUT_ANY"
"PTEN_pred","SMAD4_OUT_ANY",272,950,5191,25820,"0",0.305445278553553,0.710966188696129,0.510050455601139,"PTEN_pred SMAD4_OUT_ANY"
"PTEN_pred","TP53_OUT_DEL",0,1222,0,31011,"1",-Inf,Inf,-Inf,"PTEN_pred TP53_OUT_DEL"
"PTEN_pred","TP53_OUT_MUT",809,413,24284,6727,"0",-1.05949493725601,-0.702984711585528,-0.881773186207052,"PTEN_pred TP53_OUT_MUT"
"PTEN_RA_count","APC_OUT_ANY",11,27,5756,26439,"0.0882",-0.25635578329374,1.96340013771671,0.904040864734373,"PTEN_RA_count APC_OUT_ANY"
"PTEN_RA_count","KRAS_OUT_ANY",20,18,16359,15836,"0.872",-0.888968687611256,1.10936055940423,0.105141660323423,"PTEN_RA_count KRAS_OUT_ANY"
"PTEN_RA_count","PIK3CA_OUT_ANY",11,27,5756,26439,"0.0882",-0.25635578329374,1.96340013771671,0.904040864734373,"PTEN_RA_count PIK3CA_OUT_ANY"
