"alleleFreq_SV","htsp_trunc","htsp_point","Assigned"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.3342,0,0,"MT-L"
0.1973,1,0,"MT-H"
0.2896,0,0,"MT-L"
0.7879,0,0,"MT-L"
0.1189,0,1,"MT-L"
0.0928,0,0,"MT-L"
0.3971,1,0,"MT-L"
0.0782,0,0,"MT-L"
0.1042,1,0,"MT-H"
0.1561,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.3974,0,0,"MT-L"
0.2404,1,0,"MT-H"
0.3164,0,0,"MT-H"
0.2484,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2038,0,1,"MT-L"
0.2375,0,0,"MT-L"
NA,0,0,"MT-L"
0.2833,1,0,"MT-H"
0.221,1,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.0586,0,1,"MT-H"
0.2183,1,0,"MT-L"
NA,0,0,"MT-L"
0.3868,1,0,"MT-L"
0.2463,0,1,"MT-L"
0.1983,0,0,"MT-L"
NA,0,0,"MT-L"
0.101,1,0,"MT-H"
0.3042,0,0,"MT-L"
0.3104,0,0,"MT-L"
0.2905,0,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1091,0,0,"MT-L"
0.0841,1,0,"MT-L"
0.193,1,0,"MT-H"
0.2252,0,0,"MT-H"
0.0673,1,0,"MT-L"
NA,0,0,"MT-L"
0.3266,0,1,"MT-L"
0.1628,1,0,"MT-H"
0.2181,0,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.0209,0,0,"MT-H"
NA,0,0,"MT-L"
0.3333,1,0,"MT-L"
0.1244,0,0,"MT-L"
0.213,0,0,"MT-L"
0.3326,1,0,"MT-H"
0.161,1,0,"MT-H"
0.1715,0,0,"MT-H"
0.3661,1,0,"MT-L htmb"
0.2917,0,1,"MT-L htmb"
0.1503,0,1,"MT-L"
NA,0,0,"MT-L"
0.2043,0,1,"MT-L"
0.1683,0,1,"MT-L"
0.1728,0,1,"MT-L"
0.3724,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2104,1,0,"MT-H"
0.1912,1,0,"MT-H"
0.2069,0,1,"MT-H"
NA,0,0,"MT-L"
0.2951,0,1,"MT-L"
0.1854,1,0,"MT-H"
0.1785,1,0,"MT-H"
NA,0,0,"MT-L"
0.1582,0,1,"MT-L"
NA,0,0,"MT-L"
0.1004,0,0,"MT-L"
0.0539,0,0,"MT-L"
0.2422,0,0,"MT-H"
0.1823,1,0,"MT-H"
0.1923,0,1,"MT-L"
0.434,0,1,"MT-H"
NA,0,0,"MT-L"
0.1701,1,0,"MT-L"
0.2927,0,1,"MT-L"
0.089,0,0,"MT-L"
NA,0,0,"MT-L"
0.0125,1,0,"MT-L"
0.3383,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1752,1,0,"MT-H"
0.1872,0,1,"MT-L htmb"
0.1717,0,1,"MT-L htmb"
NA,0,0,"MT-L"
0.1082,1,0,"MT-H"
0.1097,1,0,"MT-H"
0.3247,0,0,"MT-L"
0.4863,0,0,"MT-L"
0.2482,0,0,"MT-H"
0.2308,0,0,"MT-H"
0.2741,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1369,0,0,"MT-H"
0.1403,1,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1139,0,0,"MT-L"
NA,0,0,NA
NA,0,0,"MT-L"
0.2075,1,0,NA
0.1918,1,0,NA
0.0323,0,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2241,0,1,"MT-L htmb"
0.2407,0,1,"MT-L htmb"
0.5689,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2419,1,0,"MT-L htmb"
0.2825,1,0,"MT-L htmb"
0.2763,0,0,"MT-L htmb"
NA,0,0,"MT-L"
0.2635,0,0,"MT-L"
0.1519,0,0,"MT-L"
0.4032,0,0,"MT-L"
0.0207,0,1,"MT-H"
0.2223,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.213,0,1,"MT-H"
0.3517,1,0,"MT-H"
0.6794,0,0,"MT-L"
0.1717,0,0,"MT-L htmb"
0.1714,0,0,"MT-L htmb"
0.3734,0,0,"MT-L"
NA,0,0,"MT-L"
0.2328,1,0,"MT-L"
NA,0,0,"MT-L"
0.4371,1,0,"MT-L htmb"
0.359,1,0,"MT-L htmb"
0.1132,0,1,"MT-L"
0.087,0,0,"MT-L"
0.2029,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2452,1,0,"MT-L htmb"
0.0665,1,0,"MT-L htmb"
0.0112,0,1,"MT-L htmb"
0.0165,0,1,"MT-L htmb"
0.3258,0,0,"MT-L htmb"
0.3546,0,0,"MT-L htmb"
0.0348,0,1,"MT-L"
0.455,0,1,"MT-L"
NA,0,0,"MT-L"
0.0789,0,1,"MT-L"
0.3642,0,0,"MT-L"
NA,0,0,"MT-L"
0.6226,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.231,0,1,"MT-L"
NA,0,0,"MT-L"
0.1403,0,1,"MT-H"
0.1359,1,0,"MT-H"
0.4685,0,0,"MT-L"
0.1985,1,0,"MT-H"
0.2257,1,0,"MT-H"
NA,0,0,"MT-L"
0.1847,0,0,"MT-L"
0.2245,1,0,"MT-L"
0.5135,0,1,"MT-L"
0.1276,1,0,"MT-L"
NA,0,0,"MT-L"
